"Nome";"Entidade";"Status";"Fabricante";"Número de série";"Tipo";"Modelo";"Localização";"Sistema operacional - Nome";"Componentes - Processador";"Componentes - Memória";"Componentes - Tamanho de disco rígido";"Última atualização";"Data de criação";
"SEDERS-NS010013";"RioSaudeSEDE";"Reserva";"Daten";"01042700010013";"Notebook";"DCM4A-4";"DGOVI";"Windows 10 Pro";"AMD Ryzen™ 3 5400U";"8 GB";"500 GB";"2023-12-14 17:14";"2023-12-14 12:50";
"SEDERS-NS010015";"RioSaudeSEDE";"Em uso";"Daten";"01042700010015";"Notebook";"DCM4A-4";"DGOVI";"Windows 10 Pro";"AMD Ryzen™ 3 5400U";"8 GB";"500 GB";"2024-06-13 14:28";"2023-12-14 12:53";
"SEDERS-NS010016";"RioSaudeSEDE";"Em uso";"Daten";"01042700010016";"Notebook";"DCM4A-4";"DGOVI";"Windows 10 Pro";"AMD Ryzen™ 3 5400U";"8 GB";"500 GB";"2024-06-13 14:27";"2023-12-14 12:53";
"SEDERS-NS010019";"RioSaudeSEDE";"Em uso";"Daten";"01042700010019";"Notebook";"DCM4A-4";"DGOVI";"Windows 10 Pro";"AMD Ryzen™ 3 5400U";"8 GB";"500 GB";"2024-06-17 09:49";"2023-12-14 12:56";
"SEDERS-NS010020";"RioSaudeSEDE";"Reserva";"Daten";"01042700010020";"Notebook";"DCM4A-4";"DGOVI";"Windows 10 Pro";"AMD Ryzen™ 3 5400U";"8 GB";"500 GB";"2023-12-14 17:14";"2023-12-14 12:57";
"SEDERS-NS010022";"RioSaudeSEDE";"Reserva";"Daten";"1042700010022";"Notebook";"DCM4A-4";"DGOVI";"Windows 10 Pro";"AMD Ryzen™ 3 5400U";"8 GB";"500 GB";"2023-12-14 17:14";"2023-12-14 12:58";
"SEDERS-NS010023";"RioSaudeSEDE";"Em uso";"Daten";"01042700010023";"Notebook";"DCM4A-4";"DGOVI";"Windows 10 Pro";"AMD Ryzen™ 3 5400U";"8 GB";"500 GB";"2024-06-13 14:28";"2023-12-14 12:59";
"SEDERS-NS010024";"RioSaudeSEDE";"Reserva";"Daten";"01042700010024";"Notebook";"DCM4A-4";"DGOVI";"Windows 10 Pro";"AMD Ryzen™ 3 5400U";"8 GB";"500 GB";"2023-12-14 17:14";"2023-12-14 13:00";
"SEDERS-NS0100B2";"RioSaudeSEDE";"Em uso";"Daten";"01042700010002";"Notebook";"DCM4A-4";"DGOVI";"Windows 10 Pro";"AMD Ryzen™ 3 5400U";"8 GB";"500 GB";"2024-06-13 14:28";"2023-12-14 13:30";
"SEDERS-NS0100C3";"RioSaudeSEDE";"Em uso";"Daten";"01042700010003";"Notebook";"DCM4A-4";"DGOVI";"Windows 10 Pro";"AMD Ryzen™ 3 5400U";"8 GB";"500 GB";"2024-06-13 14:28";"2023-12-14 13:30";
